Year,HUC 12 Code,Watershed Name,Number of DMR Dischargers,Number of TRI Dischargers,Total DMR Discharges (lb/yr),Total TRI Discharges (lb/yr),Total DMR TWPE (lb-eq/yr),Total TRI TWPE (lb-eq/yr),DMR Metals Discharges (lb/yr),TRI Metals Discharges (lb/yr),DMR Metals TWPE (lb-eq/yr),TRI Metals TWPE (lb-eq/yr),DMR Priority Pollutants Discharges (lb/yr),TRI Priority Pollutants Discharges (lb/yr),DMR Priority Pollutants TWPE (lb-eq/yr),TRI Priority Pollutants TWPE (lb-eq/yr),DMR Solids Discharges (lb/yr),DMR Organic Enrichment Discharges (lb/yr),Total DMR Nitrogen Discharges (lb/yr),DMR Nitrogen Discharges from POTWs (lb/yr),Total DMR Phosphorus Discharges (lb/yr),DMR Phosphorus Discharges from POTWs (lb/yr),DMR Nitrogen Discharges from Non-POTWs (lb/yr),DMR Phosphorus Discharges from Non-POTWs (lb/yr),DMRAvgPathogen Indicators Discharges (cfu/100mL),DMR Max Pathogen Indicators Discharges (cfu/100mL),DMRAvgTemperature Discharges (DegF),DMR Max Temperature Discharges (DegF),DMR Avg Daily Flow (MGD),DMR Total Annual Flow (Mgal/yr),Number of Active CSOs
2017,210100020101,Rio Corozal,3,0,840121.7280511147008,,440.477485677837552,,146.8347905,,82.227675512874591,,147.1503651020088,,82.577963297173869,,123696.1606,94731.23935,35975.6276822835737504436,35852.2830864819206726616,7004.099004,4174.682428,123.344595801653077782,2829.416576,0,0,82.39,87.98,1.02622222222222222222222222222222222222,750.268,
2017,210100020102,Rio Mavilla,1,0,78276.944095981764,,38.05460484239862,,1.367809865,,0.96776228,,1.367809865,,0.96776228,,,461.0355737,0,,25.7563035,,0,25.7563035,,,73.5,77.18,0.26625,95.127,
2017,210100020103,Rio Morovis,3,0,649952.58573217605885,,515.827432281707533575,,179.01715188754635,,74.04368626514070645,,179.01715188754635,,74.04368626514070645,,19239.7275,13724.75418,5465.69482644720582765795,5451.20614485246620434635,5138.126565418875,2891.041898668875,14.4886815947396233116,2247.084667,0,0,81.12,86,.3584037037037037037037037037037037037033,393.0824,
2017,210100020104,Rio Unibon,1,0,198878.28914982601668375,,292.49801315636456625,,17.30026010026668375,,24.28983756784533375,,17.30026010026668375,,24.28983756784533375,,1440.6,1349.46,61546.100072702804562339,61546.100072702804562339,647.7898337,647.7898337,,,0,0,82.52,86,.8242222222222222222222222222222222222222,297.453333333333333333333333333333333333,
2017,210100020105,Rio Indio,1,0,129509.994675684819315,,3894.8769860160005758395,,4.842799442,,3.01706405246797887,,4.842799442,,3.01706405246797887,,,1774.769186,2514.214577,,62351.019673355595,,2514.214577,62351.019673355595,,,81.6,86.36,.2273127777777777777777777777777777777778,83.39448666666666666666666666666666666667,
2017,210100020106,Rio Cibuco near mouth,3,0,1282893.228008642628,,35.783985555822714,,16.77137576,,10.448567098422684,,18.98456818,,12.905210686531884,,532882.5654,399357.5516,58788.8389336608847992456,58788.8389336608847992456,3881.954784,3881.954784,,,42.75,337,84.9,87.26,.9667777777777777777777777777777777777778,353.397333333333333333333333333333333333,
2017,210100020202,Rio Orocovis,3,0,368889.43599301041919125,,268.7169469149163726875,,73.39620660858486,,43.739344130652681,,74.44790935263919125,,44.9067341765529886875,,51289.27911,66751.38323,6878.41248036606628532715,6816.678153750520553358,3421.204085,686.5507687,61.73432661554573196915,2734.653316,51.11111111111111111111111111111111111111,207,78.37,91.22,.2401851851851851851851851851851851851852,263.273333333333333333333333333333333333,
2017,210100020203,Rio Sana Muerto,1,0,11111147.354270366558925,,145.6066462226504898,,3.419695706078925,,2.445565588506054,,3.419695706078925,,2.445565588506054,,,15412.43628,21.60374093728543858536,,,,21.60374093728543858536,,0,0,75.58,78.98,.1754444444444444444444444444444444444444,64.428,
2017,210100020205,Rio Matrullas at Lago de Matrullas Dam,1,0,16248.92997,,4.500692947,,0,,0,,0,,0,,,249.6399702,4.348757137948384392,,,,4.348757137948384392,,0,0,73.38,78.26,.0396333333333333333333333333333333333333,14.5332,
2017,210100020208,Rio Toro Negro,2,0,27399.46244076693815625,,131.9959885628620044375,,33.02505146,,10.633491763022499,,35.08793636534615625,,12.9232940132769624375,,0,3982.410844,97.4366268596156601144,,1008.341394,,97.4366268596156601144,1008.341394,133.333333333333333333333333333333333333,300,83.04,87.8,.3458888888888888888888888888888888888889,252.994933333333333333333333333333333333,
