Year,HUC 12 Code,Watershed Name,Number of DMR Dischargers,Number of TRI Dischargers,Total DMR Discharges (lb/yr),Total TRI Discharges (lb/yr),Total DMR TWPE (lb-eq/yr),Total TRI TWPE (lb-eq/yr),DMR Metals Discharges (lb/yr),TRI Metals Discharges (lb/yr),DMR Metals TWPE (lb-eq/yr),TRI Metals TWPE (lb-eq/yr),DMR Priority Pollutants Discharges (lb/yr),TRI Priority Pollutants Discharges (lb/yr),DMR Priority Pollutants TWPE (lb-eq/yr),TRI Priority Pollutants TWPE (lb-eq/yr),DMR Solids Discharges (lb/yr),DMR Organic Enrichment Discharges (lb/yr),Total DMR Nitrogen Discharges (lb/yr),DMR Nitrogen Discharges from POTWs (lb/yr),Total DMR Phosphorus Discharges (lb/yr),DMR Phosphorus Discharges from POTWs (lb/yr),DMR Nitrogen Discharges from Non-POTWs (lb/yr),DMR Phosphorus Discharges from Non-POTWs (lb/yr),DMRAvgPathogen Indicators Discharges (cfu/100mL),DMR Max Pathogen Indicators Discharges (cfu/100mL),DMRAvgTemperature Discharges (DegF),DMR Max Temperature Discharges (DegF),DMR Avg Daily Flow (MGD),DMR Total Annual Flow (Mgal/yr),Number of Active CSOs
2021,210100020101,Rio Corozal,4,0,1932726.494849174480925,,49.4823143961210834,,111.886567630187175,,40.9091051775679875,,111.886567630187175,,40.9091051775679875,,35851.095,22504.23219,70361.141421344006369997,65651.716883498006369997,13710.24537583995,8744.813561,4709.424538,4965.431815,0.6875,7,83.1875,91.22,.756791666666666666666666666666666666665,551.453,
2021,210100020102,Rio Mavilla,1,0,11238.6622067504657775,,37.7429443363590975,,25.2313590667157775,,33.9578169711090975,,25.2313590667157775,,33.9578169711090975,,,4930.742445,0,,2409.702985,,0,2409.702985,,,74.15,76.46,0.24075,87.953,
2021,210100020103,Rio Morovis,4,0,1293170.4361898247317175,,127.8139761599381478,,310.1244452625767175,,127.4676794129980458,,310.1244452625767175,,127.4676794129980458,,40962.285,41981.794772209425,22801.34752,21378.8038,8241.044581,3587.095591,1422.543721,4653.948991,85.83333333333333333333333333333333333333,1418,81.725,86.36,.5044191944444444444444444444444444444467,551.774821,
2021,210100020104,Rio Unibon,1,0,62239.8854657072683575,,1.449091520736411825,,1.570260751,,0.978272448,,1.9654170471433575,,1.416895936604301825,,5371.38,5164.11,3950.201416,3950.201416,755.8177342,755.8177342,,,131.916666666666666666666666666666666667,294,84.335,88.7,.0945833333333333333333333333333333333333,34.554,
2021,210100020105,Rio Indio,1,0,0,,0,,0,,0,,0,,0,,,0,0,,0,,0,0,,,,,0,0,
2021,210100020106,Rio Cibuco near mouth,5,0,1940461.66297496701125,,71.5260634631132625,,0,,0,,6.420168322,,7.1263868371549875,,106900.605,73080.315,52039.33488550125,52039.33488550125,4307.638856,4307.638856,0,0,67.70833333333333333333333333333333333325,2420,86.705,89.42,1.085,396.52,
2021,210100020202,Rio Orocovis,3,0,356204.6062226609855625,,26.0241483252157344,,22.5444999494255625,,24.133328764916868,,23.9865272319605625,,25.733979048530718,,1411.2,2143.26,6989.383525,6989.383525,3991.734084,2897.006773,0,1094.727311,6.41666666666666666666666666666666666667,17,79.1,85.64,.2697416666666666666666666666666666666667,295.9091,
2021,210100020203,Rio Sana Muerto,1,0,113999.22334083666592125,,10.34108447431437,,10.46926590299092125,,10.14865815681837,,10.46926590299092125,,10.14865815681837,,,10301.63946,,,,,,,0,0,77.615,84.02,.2846083333333333333333333333333333333333,102.4731,
2021,210100020205,Rio Matrullas at Lago de Matrullas Dam,1,0,1122.4649321556615,,.3600519955966395,,0.573770493,,.3574590168502395,,0.573770493,,.3574590168502395,,,0,,,,,,,,,72.965,77.36,.0501174166666666666666666666666666666667,18.33346,
2021,210100020208,Rio Toro Negro,1,0,276611.0992212926925,,1.1384162892923625,,0,,0,,1.025600261,,1.1384162892923625,,,,0,,139.1017323,,0,139.1017323,,,80.315,83.84,0.4215,154.268,
