Year,HUC 12 Code,Watershed Name,Number of DMR Dischargers,Number of TRI Dischargers,Total DMR Discharges (lb/yr),Total TRI Discharges (lb/yr),Total DMR TWPE (lb-eq/yr),Total TRI TWPE (lb-eq/yr),DMR Metals Discharges (lb/yr),TRI Metals Discharges (lb/yr),DMR Metals TWPE (lb-eq/yr),TRI Metals TWPE (lb-eq/yr),DMR Priority Pollutants Discharges (lb/yr),TRI Priority Pollutants Discharges (lb/yr),DMR Priority Pollutants TWPE (lb-eq/yr),TRI Priority Pollutants TWPE (lb-eq/yr),DMR Solids Discharges (lb/yr),DMR Organic Enrichment Discharges (lb/yr),Total DMR Nitrogen Discharges (lb/yr),DMR Nitrogen Discharges from POTWs (lb/yr),Total DMR Phosphorus Discharges (lb/yr),DMR Phosphorus Discharges from POTWs (lb/yr),DMR Nitrogen Discharges from Non-POTWs (lb/yr),DMR Phosphorus Discharges from Non-POTWs (lb/yr),DMRAvgPathogen Indicators Discharges (cfu/100mL),DMR Max Pathogen Indicators Discharges (cfu/100mL),DMRAvgTemperature Discharges (DegF),DMR Max Temperature Discharges (DegF),DMR Avg Daily Flow (MGD),DMR Total Annual Flow (Mgal/yr),Number of Active CSOs
2016,210100020101,Rio Corozal,3,0,11790797.52287548542919090909090909090909,,300.3640059283860465,,216.183313766676804545454545454545454545,,108.75891475047241125,,216.331756475208054545454545454545454545,,108.92368615694209875,,17547.39,11192.72122,10505193.2068191322555851993,10505037.431571334963077438,7616.371956981709090909090909090909090909,5709.031513690909090909090909090909090909,155.7752477972925077613,1907.340443,16.77777777777777777777777777777777777778,56,82.3325,89.96,0.806375,587.046,
2016,210100020102,Rio Mavilla,1,0,857484.208649322624825,,364.513423272245919,,10.968778727724825,,14.8687402567782645,,10.968778727724825,,14.8687402567782645,,,3839.300764,24.422307222536625591,,240.4115304,,24.422307222536625591,240.4115304,,,73.91,75.74,1.24941666666666666666666666666666666667,450.775,
2016,210100020103,Rio Morovis,3,0,1965531.56067414213088397727272727272727,,914.37783639597240257475,,291.84875986250273625,,95.2241919156274754385,,291.84875986250273625,,95.2241919156274754385,,35478.45,21207.720668694525,12599.2628363027081134013535,12557.104096047342626693178,7429.226041,4850.257933,42.1587402553654867081755,2578.968108,79,237,81.82,86.18,.7463607777777777777777777777777777777767,817.058013,
2016,210100020104,Rio Unibon,1,0,64911.9448476008229825,,20.787222459996405,,2.6063924747979825,,1.82993651799891975,,2.6063924747979825,,1.82993651799891975,,1146.6,1404.585,7304.4495195422596162443,7304.4495195422596162443,1006.68731,1006.68731,,,68,68,82.7,86,.1458333333333333333333333333333333333333,53.301,
2016,210100020105,Rio Indio,1,0,27994.7573612542348308981818181818181818,,1663.552759380111467580109090909090909091,,28.09634686732163441454545454545454545454,,6.7029461941154841850909090909090909091,,28.39159244488131271636363636363636363636,,7.03066878520672710010909090909090909091,,,1161.6466,0,,1406.1612527602857,,0,1406.1612527602857,,,74.912,85.1,.2008854166666666666666666666666666666667,73.22362,
2016,210100020106,Rio Cibuco near mouth,3,0,2562239.23639938128967272727272727272727,,3694.4740835489974725,,32.86752005306585454545454545454545454545,,20.90428132742208,,37.27917778852985454545454545454545454545,,25.80122141378712,,17470.215,17300.43,150278.2355823062661063818181818181818182,150278.2355823062661063818181818181818182,8065.251147988503,8065.251147988503,,,120,240,85.31,87.26,1.63333333333333333333333333333333333333,595.43,
2016,210100020202,Rio Orocovis,3,0,319092.9275883960514718181818181818181818,,256.037080989183544725340909090909090909,,100.905531931788255,,50.7523541560186095,,101.719971571607005909090909090909090909,,51.65638215621742300909090909090909090909,,1076.04,1472.94,7491.6290194747251651554895,7425.3680409895478540811,2428.717856,1904.377423,66.2609784851773110743895,524.3404331,2,25,77.8625,82.22,.2227222222222222222222222222222222222222,244.022,
2016,210100020203,Rio Sana Muerto,1,0,16452011.120689087991775,,146.6900044540583333625,,20.534229851573025,,5.273052799751353575,,20.534229851573025,,5.273052799751353575,,,10208.93461046235,48.171760227420860061045,,,,48.171760227420860061045,,4,4,75.785,79.16,.1368080833333333333333333333333333333333,50.21347,
2016,210100020205,Rio Matrullas at Lago de Matrullas Dam,1,0,18424.13762413375251975,,5.5065065815582515,,0.025769802,,0.026339876,,0.025769802,,0.026339876,,,158.2454314,0,,,,0,,2,2,73.25,77,.0473626666666666666666666666666666666667,17.266802,
2016,210100020208,Rio Toro Negro,2,0,36557.5171933135895325,,503.515129833273381075,,31.46654839,,11.24973448546989825,,389.7381008678237325,,408.931157738371166325,,0,3379.143015,252.030384257225275953109090909090909091,,1386.065243135475,,252.030384257225275953109090909090909091,1386.065243135475,805.555555555555555555555555555555555556,2900,85.6025,94.28,.2101422222222222222222222222222222222222,153.27579,
2016,210100020209,Rio Cialitos,2,0,204228.9319604720385054545454545454545455,,57.91823414553763554545454545454545454545,,30.22411611825018,,12.36615141854552154545454545454545454545,,30.84588038886396,,13.05630975892681734545454545454545454545,,,3938.160082,74.24213691652262734824,,9965.985111555136363636363636363636363636,,74.24213691652262734824,9965.985111555136363636363636363636363636,0,0,78.4904545454545454545454545454545454545,83.84,.2816742424242424242424242424242424242425,205.685818181818181818181818181818181818,
2016,210100020210,Rio Grande de Manati,9,0,222508.2374159642706354545454545454545455,,15684.1554750865992965045454545454545455,,25229.3755847101034563636363636363636364,,1807.86518631058283685,,26040.5188012635333627272727272727272727,,2708.234156684890032913636363636363636364,,8125.425,102083.3061,282.564380222492038329272727272727272727,223.441919985718623415418181818181818182,38229.31485427761,37245.312384753375,59.12246023677341491385454545454545454545,984.0024695,5.45833333333333333333333333333333333333,79,79.44125,89.24,5.079145,9342.9588,
2016,210100020402,Rio Grande de Arecibo at Lago Adjuntas Dam,3,0,1002773.035631038732515,,88.7929356898952298,,22.68164088257193,,13.69940990860030995,,24.622098091466715,,15.8533174104735213,,14806.575,12655.91997,17247.6935621757680288382,17247.6935621757680288382,1270.5449606374833,1220.3944083132858,0,50.15055232,170.194444444444444444444444444444444444,5088,77.4875,82.58,.2059222222222222222222222222222222222222,225.7815,
2016,210100020404,Rio Guaonica,1,0,7977.56438885288526,,31.5523472597344305,,2.945252222,,1.6917473327499675,,2.945252222,,1.6917473327499675,,,590.4446492,0,,21.13164841,,0,21.13164841,0,0,77.225,80.6,.1133666666666666666666666666666666666667,41.2884,
2016,210100020407,Rio Vivi,3,0,562895.3241967032747,,1228.51698383163356775,,76.79069860431375,,44.96142426131063925,,76.80982391,,44.98265334956754375,,,7981.835691,0,,1321.403520012975,,0,1321.403520012975,43000,80000,74.927,84.2,1.20783333333333333333333333333333333333,896.245,
2016,210100020408,Rio Caonillas at Lago Caonillas Dam,4,0,1055125.151750903422644,,653.508071518240243814727272727272727273,,2251.307280130605785454545454545454545454,,120.970911989850917629090909090909090909,,2254.415386885707825818181818181818181818,,124.420910488014182432727272727272727273,,3556.665,7221.287951130272727272727272727272727273,6228.8518041984882966129,6157.2718335510015823161,1586.479308272316818181818181818181818182,1525.246028014275,71.5799706474867142968,61.23328025804181818181818181818181818182,1,2,76.796818181818181818181818181818181818,85.82,.4312574747474747474747474747474747474733,473.287432727272727272727272727272727273,
2016,210100020410,Rio Limon,3,0,42450.0377596338299931818181818181818182,,204.615483766155258663194739151420909091,,8.71750178423402727272727272727272727273,,2.52815886721575049090909090909090909091,,8.71750178423402727272727272727272727273,,2.52815886721575049090909090909090909091,,57.73090909090909090909090909090909090909,1931.217131,8.386531889439375,,7186.7632282432875,,8.386531889439375,7186.7632282432875,919.909090909090909090909090909090909091,9000,75.67,83.3,.1329190833333333333333333333333333333333,142.46954,
2016,210100020412,Rio Grande de Arecibo at Lago Dos Bocas Dam,6,0,1185414.70385185213753585227272727272727,,381.155563022450777433409090909090909091,,14.0564539669442175,,14.14478802157770825,,16.30546665718891295454545454545454545455,,16.64119210774932020454545454545454545455,,12886.553051506575,27118.650895084476,15989.948396858646572082651,15928.9096983727771200168,5061.646392449787,5026.286794,61.038698485869452065851,35.35959808,1670.14,80000,82.0355,86.18,.2275720895833333333333333333333333333333,331.915794,
2016,210100020413,Rio Tanama,2,0,8088.50332243332225,,784.667349847431484875,,242.79462677120175,,733.611508945958734875,,242.79462677120175,,733.611508945958734875,,0,3336.420809,0,,105.1272827,,0,105.1272827,0,0,79.865,84.2,0.1988125,145.1345,
2016,210100020414,Rio Grande de Arecibo at mouth,3,0,8189124.58037875568181818181818181818182,,1440.803386623364155,,56.25487287,,35.0467858,,56.25487287,,35.0467858,,,1891.034860909090909090909090909090909091,812.915305211496809826,,,,812.915305211496809826,,286.75,2642,81.35,86,2.38333333333333333333333333333333333334,1740.3,
2016,210100020503,Rio Guajataca at Lago Guajataca Dam,2,0,134767.8549867393677859545454545454545455,,379.70530620972939982125,,.1126168712867319545454545454545454545455,,2.184352279129071135,,.1126168712867319545454545454545454545455,,2.184352279129071135,,19085.37655218075,20380.226471259669,49415.9495503835836365725589545454545455,49384.9565547515324470145454545454545455,2309.1834983630480865,2307.742171,30.9929956320511895580135,1.4413275149480865,406.620833333333333333333333333333333334,1430.9,81.8075,82.94,.508409708333333333333333333333333333335,371.253094,
