Year,HUC 12 Code,Watershed Name,Number of DMR Dischargers,Number of TRI Dischargers,Total DMR Discharges (lb/yr),Total TRI Discharges (lb/yr),Total DMR TWPE (lb-eq/yr),Total TRI TWPE (lb-eq/yr),DMR Metals Discharges (lb/yr),TRI Metals Discharges (lb/yr),DMR Metals TWPE (lb-eq/yr),TRI Metals TWPE (lb-eq/yr),DMR Priority Pollutants Discharges (lb/yr),TRI Priority Pollutants Discharges (lb/yr),DMR Priority Pollutants TWPE (lb-eq/yr),TRI Priority Pollutants TWPE (lb-eq/yr),DMR Solids Discharges (lb/yr),DMR Organic Enrichment Discharges (lb/yr),Total DMR Nitrogen Discharges (lb/yr),DMR Nitrogen Discharges from POTWs (lb/yr),Total DMR Phosphorus Discharges (lb/yr),DMR Phosphorus Discharges from POTWs (lb/yr),DMR Nitrogen Discharges from Non-POTWs (lb/yr),DMR Phosphorus Discharges from Non-POTWs (lb/yr),DMRAvgPathogen Indicators Discharges (cfu/100mL),DMR Max Pathogen Indicators Discharges (cfu/100mL),DMRAvgTemperature Discharges (DegF),DMR Max Temperature Discharges (DegF),DMR Avg Daily Flow (MGD),DMR Total Annual Flow (Mgal/yr),Number of Active CSOs
2007,210100020101,Rio Corozal,2,0,17054129.13440750609071295454545454545454,,2097.811183524124953437836979735454545455,,663.408081869663440227272727272727272727,,210.523438222490051590909090909090909091,,216.8014652693361675,,170.7844469669255925,,24387.9615,8596.051903,40502.364623134850866752,40502.364623134850866752,22305.0279762988363636363636363636363636,21516.7016122918363636363636363636363636,,788.326364,3351.958333333333333333333333333333333334,68922,81.41,86.72,.577083333333333333333333333333333333335,422.539,
2007,210100020102,Rio Mavilla,1,0,7377.526351550473363636363636363636363636,,30.64602140308561745454545454545454545454,,6.70827518383336363636363636363636363636,,2.68249733934475745454545454545454545454,,4.28065191259936363636363636363636363636,,2.43245214240765545454545454545454545454,,,83.41668578,3.209194719387501012,,81.30648541,,3.209194719387501012,81.30648541,2.25,4,74.93,81.32,.0116666666666666666666666666666666666667,4.257,
2007,210100020103,Rio Morovis,4,0,143375195.438885574997567159090909090909,,3465.963720606946768950681818181818181818,,537.581414261455321704545454545454545455,,618.996956208800415764318181818181818182,,131.53533064870330125,,577.1742095966869576575,,18664.10883,30115.810035897705,5358.680411979469921694208,5333.341506179494940207208,2388.497897412347175,2367.816873,25.338905799974981487,20.681023972847175,14607.9280303030303030303030303030303031,160000,80.90375,86.9,.2517591666666666666666666666666666666675,367.277721,
2007,210100020104,Rio Unibon,1,0,5137960.801942704233925,,6025.78939400082513225,,5.600457866270925,,5.8186498471135335,,30.048676724270925,,32.9561727794935335,,2198.3409,5263.2468,4792.3723007313850922085,4792.3723007313850922085,12069.2265949538325,12069.2265949538325,,,8063.666666666666666666666666666666666667,79819,82.595,86.36,0.19025,69.495,
2007,210100020105,Rio Indio,1,0,280035.751212642554325,,244.500108382207881,,58.267392655454325,,33.929449516959255,,51.908112566054325,,33.274443667751055,,,9099.745805,274.9177790874286907184,,472.8821886,,274.9177790874286907184,472.8821886,238.714285714285714285714285714285714286,900,81.47,88.7,0.206175,75.105,
2007,210100020106,Rio Cibuco near mouth,2,0,4882273.90130022192129375,,2408.34402982399464,,261.13556305410879375,,170.2751175629691075,,248.82299933899629375,,184.6403904588076575,,24113.2185,29635.641,47419.166528942055864849,47419.166528942055864849,14709.34871001225,14709.34871001225,,,534.4,3559,85.44363636363636363636363636363636363636,87.8,2.0485,748.793,
2007,210100020202,Rio Orocovis,3,0,900695.96088594780294,,476.7792311555104356,,118.61537096085894,,224.7661035660044025,,118.61537096085894,,224.7661035660044025,,3964.3695,6180.897804,196339.481583643240668,196215.679023538030668,921.4976312,191.7385006060125,123.8025601,729.7591305983265,235.833333333333333333333333333333333333,4360,78.4075,84.74,.0828888888888888888888888888888888888889,90.485,
2007,210100020208,Rio Toro Negro,3,0,831858.4241119661800868181818181818181818,,193.392893923221416616818181818181818182,,110.782571438695905,,48.72278392324359975,,30.443808547683405,,40.91209288326362475,,0,1767.532963,45.3633310451500068204,,135.3710111624325,,45.3633310451500068204,135.3710111624325,1.6,10,76.745,84.74,.0272472222222222222222222222222222222222,29.8619,
2007,210100020209,Rio Cialitos,2,0,15455.6222074542981945,,143.1434960865690165,,39.9086496069156945,,36.3643400203426665,,37.6386448045356945,,36.6077367228945015,,,1672.717079,,,869.6687119,,,869.6687119,4.83333333333333333333333333333333333334,34,109.6625,494.6,.0453870833333333333333333333333333333334,33.1576,
2007,210100020210,Rio Grande de Manati,5,0,15855472.63356354459995113636363636363636,,2958.811955960071461218181818181818181818,,168.478968444168160227272727272727272727,,60.45765318375677140909090909090909090908,,1994.042663568770205681818181818181818182,,2160.450812697917976409090909090909090909,,5609.137208,11902.4630075316190909090909090909090909,185.4187951,0,3423.890608346565,3011.486215457475,185.4187951,412.4043929,2725.94393939393939393939393939393939394,90000,86.6943636363636363636363636363636363638,500,.1348517121212121212121212121212121212121,246.007409090909090909090909090909090909,
2007,210100020402,Rio Grande de Arecibo at Lago Adjuntas Dam,3,0,8111691.274044586447737,,6026.01248333807555175,,52.151136713524737,,36.84983028211751175,,52.151136713524737,,36.84983028211751175,,23634.072,8753.157551,8062165.910399282143426188,8062120.979866574523,1303.9234065772425,1294.0733789737425,44.930532707620426188,9.850027604,103,206,76.8275,80.6,.1000138888888888888888888888888888888889,110.0661,
2007,210100020404,Rio Guaonica,1,0,3499.575839968709025,,47.64599471,,45.066468138059025,,17.86947608,,45.066468138059025,,17.86947608,,,913.6451016,47.32413221,,1389.346135,,47.32413221,1389.346135,0,0,78.185,82.4,.0690833333333333333333333333333333333333,25.256,
2007,210100020407,Rio Vivi,2,0,100272.9013235364263625,,544.865402607160044375,,79.3925947921388625,,39.2916164561274375,,79.8296917492013625,,39.7767940784668125,,,952.8371481,0.887860366,,388.9057917,,0.887860366,388.9057917,0.7,2,94.145,505.4,0.0715625,52.1535,
2007,210100020408,Rio Caonillas at Lago Caonillas Dam,2,0,1403652.00677698970855079545454545454545,,2575.735595832273002386363636363636363636,,3537.397057087601368977272727272727272728,,1590.027036620359909090909090909090909091,,2386.518626136115005340909090909090909092,,1475.952809788668272727272727272727272727,,8515.71,8643.316665518181818181818181818181818182,20397.363636065409,20397.363636065409,3181.431724,3174.262157,,7.169566871,91.409090909090909090909090909090909091,1693,276.7925,4895.6,.4856666666666666666666666666666666666667,355.26,
2007,210100020410,Rio Limon,2,0,22140.7284030359215090909090909090909091,,30.38887836330870789380275062763636363637,,11.68324536589063636363636363636363636364,,6.48903002557088045454545454545454545455,,11.68324536589063636363636363636363636364,,6.48903002557088045454545454545454545455,,78.3181602,239.219602344545454545454545454545454545,231.432992532109963636363636363636363636,,44.62570528427454545454545454545454545455,,231.432992532109963636363636363636363636,44.62570528427454545454545454545454545455,544.772727272727272727272727272727272728,10000,77.1772727272727272727272727272727272725,80.24,.00932575757575757575757575757575757575755,6.78693333333333333333333333333333333333,
