Year,HUC 12 Code,Watershed Name,Number of DMR Dischargers,Number of TRI Dischargers,Total DMR Discharges (lb/yr),Total TRI Discharges (lb/yr),Total DMR TWPE (lb-eq/yr),Total TRI TWPE (lb-eq/yr),DMR Metals Discharges (lb/yr),TRI Metals Discharges (lb/yr),DMR Metals TWPE (lb-eq/yr),TRI Metals TWPE (lb-eq/yr),DMR Priority Pollutants Discharges (lb/yr),TRI Priority Pollutants Discharges (lb/yr),DMR Priority Pollutants TWPE (lb-eq/yr),TRI Priority Pollutants TWPE (lb-eq/yr),DMR Solids Discharges (lb/yr),DMR Organic Enrichment Discharges (lb/yr),Total DMR Nitrogen Discharges (lb/yr),DMR Nitrogen Discharges from POTWs (lb/yr),Total DMR Phosphorus Discharges (lb/yr),DMR Phosphorus Discharges from POTWs (lb/yr),DMR Nitrogen Discharges from Non-POTWs (lb/yr),DMR Phosphorus Discharges from Non-POTWs (lb/yr),DMRAvgPathogen Indicators Discharges (cfu/100mL),DMR Max Pathogen Indicators Discharges (cfu/100mL),DMRAvgTemperature Discharges (DegF),DMR Max Temperature Discharges (DegF),DMR Avg Daily Flow (MGD),DMR Total Annual Flow (Mgal/yr),Number of Active CSOs
2020,210100020101,Rio Corozal,4,0,1488695.33601342876987,,13.55655987284814495,,35.88561619514487,,12.1750258714725375,,35.88561619514487,,12.1750258714725375,,35881.965,18991.11372,37762.6306416976227854943,36203.0792147641227854943,208.2014678,0,1559.551427,208.2014678,40000,160000,83.1875,89.06,.726291666666666666666666666666666666665,531.329,
2020,210100020102,Rio Mavilla,1,0,6216.1782166112987925,,103.163100224286375,,13.9366186606487925,,10.637588437536375,,13.9366186606487925,,10.637588437536375,,,1225.832772,0,,1179.304057,,0,1179.304057,,,75.155,76.82,.2104166666666666666666666666666666666667,76.723,
2020,210100020103,Rio Morovis,3,0,1811672.19293269763065909090909090909091,,143.1891447462963585,,360.52798815294975,,142.2838529511662655,,360.52798815294975,,142.2838529511662655,,117830.79,78363.0184527940909090909090909090909091,36949.88178760725,31380.06474,7553.831636,3276.829486,5569.817046,4277.00215,178.236111111111111111111111111111111111,1980,82.13,88.34,0.49567625,542.644695,
2020,210100020104,Rio Unibon,1,0,58224.74195295003582,,20.9958983843044527,,33.3055112,,20.7493334786201625,,33.48294685574832,,20.9462870546831727,,3644.865,3563.28,3972.738251,3972.738251,797.1006019,797.1006019,,,136.833333333333333333333333333333333333,793,84.47,87.62,.0954166666666666666666666666666666666667,34.873,
2020,210100020105,Rio Indio,1,0,0,,0,,0,,0,,0,,0,,,0,0,,0,,0,0,,,,,0,0,
2020,210100020106,Rio Cibuco near mouth,3,0,3628910.58700057540254,,217.6673692283040069,,21.57399496,,13.4405988588262125,,23.74245185965254,,15.8475860196744069,,1013764.185,949519.305,42464.51899951275,42464.51899951275,5439.504191,5439.504191,,,80264.5416666666666666666666666666666667,160000,87.635,90.86,.9450833333333333333333333333333333333333,344.942,
2020,210100020202,Rio Orocovis,3,0,551202.1126038292635315,,55.69045914582134001818181818181818181818,,55.1565329821222815,,44.676109425936555,,56.1112247736022815,,45.735817314479355,,941.535,1558.935,9760.01594519841620617152,9760.01594519841620617152,5737.601677926825,874.144089,,4863.457588974075,72.4142857142857142857142857142857142855,283,79.565,83.84,.2150861111111111111111111111111111111111,236.0217,
2020,210100020203,Rio Sana Muerto,1,0,539885.80327695814503675,,9.42518235495580695,,8.34358710869253675,,8.12939049490807575,,8.34358710869253675,,8.12939049490807575,,,9123.76521,,,,,,,0,0,76.925,81.5,.1333083333333333333333333333333333333333,96.3952,
2020,210100020205,Rio Matrullas at Lago de Matrullas Dam,1,0,932.23030288756725,,.64751234945807025,,1.039345665,,.64751234945807025,,1.039345665,,.64751234945807025,,,461.4051313,,,,,,,,,74.57,78.8,.0446433333333333333333333333333333333333,16.30342,
2020,210100020208,Rio Toro Negro,1,0,33198125.3904347439233625,,456.107848994318794875,,307.0851764801625,,191.3140649471412375,,545.6381350812233625,,456.107848994318794875,,,,0,,186639.9970901382,,0,186639.9970901382,,,80.24,86.36,39.3865,14647.288,
