Year,HUC 12 Code,Watershed Name,Number of DMR Dischargers,Number of TRI Dischargers,Total DMR Discharges (lb/yr),Total TRI Discharges (lb/yr),Total DMR TWPE (lb-eq/yr),Total TRI TWPE (lb-eq/yr),DMR Metals Discharges (lb/yr),TRI Metals Discharges (lb/yr),DMR Metals TWPE (lb-eq/yr),TRI Metals TWPE (lb-eq/yr),DMR Priority Pollutants Discharges (lb/yr),TRI Priority Pollutants Discharges (lb/yr),DMR Priority Pollutants TWPE (lb-eq/yr),TRI Priority Pollutants TWPE (lb-eq/yr),DMR Solids Discharges (lb/yr),DMR Organic Enrichment Discharges (lb/yr),Total DMR Nitrogen Discharges (lb/yr),DMR Nitrogen Discharges from POTWs (lb/yr),Total DMR Phosphorus Discharges (lb/yr),DMR Phosphorus Discharges from POTWs (lb/yr),DMR Nitrogen Discharges from Non-POTWs (lb/yr),DMR Phosphorus Discharges from Non-POTWs (lb/yr),DMRAvgPathogen Indicators Discharges (cfu/100mL),DMR Max Pathogen Indicators Discharges (cfu/100mL),DMRAvgTemperature Discharges (DegF),DMR Max Temperature Discharges (DegF),DMR Avg Daily Flow (MGD),DMR Total Annual Flow (Mgal/yr),Number of Active CSOs
2019,210100020101,Rio Corozal,3,0,1420122.84501322756131545454545454545455,,22.87237661619210204545454545454545454545,,75.30196734520677,,19.6097807689539525,,75.30196734520677,,19.6097807689539525,,26482.05,23006.81415,40359.6012258742201710404727272727272727,33984.9625122247201710404727272727272727,428.0238182,0,6374.638714,428.0238182,53333.3333333333333333333333333333333333,160000,84.14,93.02,.611916666666666666666666666666666666665,447.338,
2019,210100020102,Rio Mavilla,1,0,188152.57565816481,,50.2819392177740925,,9.331150597,,5.8133068216490925,,9.331150597,,5.8133068216490925,,,2681.998385,0,,492.7982155165125,,0,492.7982155165125,,,74.18,77,.2633333333333333333333333333333333333333,95.95,
2019,210100020103,Rio Morovis,3,0,282707.8766505093268636363636363636363636,,122.583508242133634846181818181818181818,,168.9401506053555,,81.2575424138515065,,168.9401506053555,,81.2575424138515065,,32508.315,20192.81075190225,6987.187124314425,3834.578648405925,8573.591868,3233.997798,3152.608476,5339.59407,3.63888888888888888888888888888888888889,48,81.97445454545454545454545454545454545467,86.72,.4082335833333333333333333333333333333333,468.979479090909090909090909090909090909,
2019,210100020104,Rio Unibon,1,0,304407.365582153820042,,21.87204126870051072,,1.855387307,,1.794761915110668,,1.943453867013792,,1.89251579649822732,,1470.735,1001.07,13068.280078283527446951,13068.280078283527446951,701.3316133,701.3316133,,,406.979166666666666666666666666666666667,2420,83.54,86.36,0.085325,31.076,
2019,210100020105,Rio Indio,1,0,0,,0,,0,,0,,0,,0,,,0,0,,0,,0,0,,,,,0,0,
2019,210100020106,Rio Cibuco near mouth,3,0,167555.6271602866296,,44.1236858751315585,,9.946078351,,6.1964068123910925,,13.76602268,,10.4365450160738235,,16268.49,18546.255,32528.50633527075,32528.50633527075,5078.977715235375,5078.977715235375,,,16.58333333333333333333333333333333333334,49,86.225,89.96,.9095833333333333333333333333333333333333,331.833,
2019,210100020202,Rio Orocovis,3,0,727234.9815120784489677272727272727272728,,89.43099252540624245454545454545454545455,,45.287324885789595,,31.26311920674272925,,45.80666293074374045454545454545454545455,,31.83958443664183070454545454545454545455,,1276.695,1349.46,3018.6673198936652100465,3018.6673198936652100465,1869.6638490139575,773.4222946,0,1096.2415544127075,632.083333333333333333333333333333333333,5486,80.06,94.82,.2585805555555555555555555555555555555556,283.6309,
2019,210100020203,Rio Sana Muerto,1,0,440757.2946642007085770909090909090909091,,24.27707785851587862,,6.91952843633307709090909090909090909091,,7.0612501908395475,,6.91952843633307709090909090909090909091,,7.0612501908395475,,,14307.59366,0,,,,0,,0,0,73.649,81.32,.2591833333333333333333333333333333333333,94.7452,
2019,210100020205,Rio Matrullas at Lago de Matrullas Dam,1,0,878.266235406760772727272727272727272727,,.6987553671964348636363636363636363636364,,0.468805797,,.2920660114272705,,0.468805797,,.2920660114272705,,,132.5499809,,,,,,,,,73.7,77.54,.0391833333333333333333333333333333333333,14.2815,
2019,210100020208,Rio Toro Negro,1,0,4175.1178929184347,,20.4959353353581295,,54.84138114,,6.5501021614191975,,56.06409507,,7.9073146274501295,,,2351.818236,0,,137.4816297,,0,137.4816297,,,80.525,85.1,.4203333333333333333333333333333333333333,153.81,
2019,210100020209,Rio Cialitos,3,0,272189.5947764431725763636363636363636364,,23.12846159591567841818181818181818181818,,45.42402398169582545454545454545454545455,,19.90930109577755181818181818181818181818,,47.59991941491348545454545454545454545455,,22.32454502664915441818181818181818181818,,,3906.246160243636363636363636363636363636,,,1105.09957,,,1105.09957,0,0,79.095,87.44,.1646555555555555555555555555555555555555,179.5626,
2019,210100020210,Rio Grande de Manati,8,0,1401721.70828538338819795454545454545455,,237.610942561908353454545454545454545455,,57.2742856462736925,,46.05021358629334965,,58.40759964422632295454545454545454545455,,47.30819212402076945454545454545454545455,,26385.03,17975.75008,8962.7520803856525,8962.7520803856525,4136.559181,991.8735673094325,0,3144.6856135965375,5.20833333333333333333333333333333333333,88,80.81,91.76,.4587320833333333333333333333333333333325,667.639125,
2019,210100020402,Rio Grande de Arecibo at Lago Adjuntas Dam,3,0,2679009.46270111220643818181818181818182,,36.06698826600461091818181818181818181818,,7.712517585,,4.6711122411386475,,11.36192171554062,,8.7219508256386695,,4961.25,8744.49018,24204.4487789730061528145454545454545455,24204.4487789730061528145454545454545455,371.7996083,317.6218692,0,54.17773906,502.333333333333333333333333333333333333,3001,76.04,82.4,.1158796296296296296296296296296296296296,127.877633333333333333333333333333333333,
2019,210100020404,Rio Guaonica,1,0,3381.201735124428409090909090909090909091,,6.66946727773854054545454545454545454545,,22.3397294,,4.491886675718925,,22.3397294,,4.491886675718925,,,1557.241943,13.6616351198680302012,,89.36917058,,13.6616351198680302012,89.36917058,0,0,77.78,80.96,.1434166666666666666666666666666666666667,52.375,
