Year,HUC 12 Code,Watershed Name,Number of DMR Dischargers,Number of TRI Dischargers,Total DMR Discharges (lb/yr),Total TRI Discharges (lb/yr),Total DMR TWPE (lb-eq/yr),Total TRI TWPE (lb-eq/yr),DMR Metals Discharges (lb/yr),TRI Metals Discharges (lb/yr),DMR Metals TWPE (lb-eq/yr),TRI Metals TWPE (lb-eq/yr),DMR Priority Pollutants Discharges (lb/yr),TRI Priority Pollutants Discharges (lb/yr),DMR Priority Pollutants TWPE (lb-eq/yr),TRI Priority Pollutants TWPE (lb-eq/yr),DMR Solids Discharges (lb/yr),DMR Organic Enrichment Discharges (lb/yr),Total DMR Nitrogen Discharges (lb/yr),DMR Nitrogen Discharges from POTWs (lb/yr),Total DMR Phosphorus Discharges (lb/yr),DMR Phosphorus Discharges from POTWs (lb/yr),DMR Nitrogen Discharges from Non-POTWs (lb/yr),DMR Phosphorus Discharges from Non-POTWs (lb/yr),DMRAvgPathogen Indicators Discharges (cfu/100mL),DMR Max Pathogen Indicators Discharges (cfu/100mL),DMRAvgTemperature Discharges (DegF),DMR Max Temperature Discharges (DegF),DMR Avg Daily Flow (MGD),DMR Total Annual Flow (Mgal/yr),Number of Active CSOs
2022,210100020101,Rio Corozal,4,0,1315215.7528246569,,46.229634686403567,,53.76351411,,16.928873009765325,,53.76351411,,16.928873009765325,,22067.64,11352.38032,37610.59428464625,35176.69847,6943.297244,5316.377176,2433.895818,1626.920067,10003.71875,40000,82.1075,87.44,.602666666666666666666666666666666666665,947.521,
2022,210100020102,Rio Mavilla,1,0,3641.8686336843216525,,54.1404545649639525,,3.5805745464216525,,3.3020870199639525,,3.5805745464216525,,3.3020870199639525,,,1038.925782,0,,481.56044,,0,481.56044,,,71.18,78.62,.1616666666666666666666666666666666666667,58.799,
2022,210100020103,Rio Morovis,4,0,616331.5997911115338575,,190.104495494016179475,,363.7692646151226075,,189.696261696722759475,,363.7692646151226075,,189.696261696722759475,,25406.01,12935.45831229855,9460.163741,8488.741053,4837.864117,2774.720611,971.4226885,2063.143507,8.65277777777777777777777777777777777778,222,81.545,89.96,0.39673725,432.557613,
2022,210100020104,Rio Unibon,1,0,98109.219020366925,,1.471974722179164,,1.815539141,,1.131080885,,2.079687667,,1.424285749,,1682.415,1201.725,4111.904631,4111.904631,635.536597,635.536597,,,252.083333333333333333333333333333333333,603,84.395,87.26,.0894166666666666666666666666666666666667,32.493,
2022,210100020105,Rio Indio,1,0,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,,,0,0,
2022,210100020106,Rio Cibuco near mouth,4,0,9034266.179015047845,,1045.751842316268675,,31.56828605,,19.667042207950725,,60.962704,,52.294846138855425,,144678.87,162437.94,74846.0314,74846.0314,10972.32491960325,10972.32491960325,0,0,23242.275,230000,85.49,87.44,1.84933333333333333333333333333333333333,674.763,
2022,210100020202,Rio Orocovis,3,0,404617.12535572857986625,,42.55836091737142815,,30.64803025988111625,,21.90386419582742325,,34.26073415300111625,,25.91396551719062325,,2070.495,1748.565,7137.911946,7137.911946,2607.900733,1337.14638,,1270.754353,12.33333333333333333333333333333333333333,32,78.2825,83.12,.2492555555555555555555555555555555555555,272.7522,
2022,210100020203,Rio Sana Muerto,1,0,100270.5337470780392715,,8.222322522430044,,6.6137729568422715,,8.118430735,,6.6137729568422715,,8.118430735,,,2595.386546,,,,,,,0,0,76.295,79.34,.1131833333333333333333333333333333333333,41.4348,
2022,210100020205,Rio Matrullas at Lago de Matrullas Dam,1,0,3214.73524368043845,,1.00082290924682955,,1.591508424,,.99150974842515435,,1.591508424,,.99150974842515435,,,552.7370924,,,,,,,,,72.725,75.92,0.0534045,19.504274,
2022,210100020208,Rio Toro Negro,1,0,597559.34323610870625,,4.1445205348624875,,4.917268783,,3.063458452,,5.891198588,,4.1445205348624875,,,,0,,409.5038267,,0,409.5038267,,,80.33,84.2,0.372,134.983,
2022,210100020209,Rio Cialitos,3,0,111550.3777067695525554545454545454545454,,47.090044167674571,,53.71190006949596454545454545454545454545,,46.19829283331283,,54.30607735016846454545454545454545454545,,46.857829614859305,,,938.1887978,,,994.0683712,,,994.0683712,0,0,77.32,82.76,0.18345,201.3762,
2022,210100020210,Rio Grande de Manati,8,0,938760.4668528546567688636363636363636364,,53.08688503630981636363636363636363636364,,59.0512539678281325,,50.98521088720143,,60.62932255925676886363636363636363636364,,52.73686702368721636363636363636363636364,,90839.385,16656.11626,9285.670396,9285.670396,3665.133478,320.6297072,0,3344.503771,303.791666666666666666666666666666666667,2420,81.59,92.48,.471979166666666666666666666666666666665,687.228,
2022,210100020402,Rio Grande de Arecibo at Lago Adjuntas Dam,3,0,670791.7036817933033045454545454545454545,,18.0753673676038785,,21.49924603276485,,12.8309338181220525,,22.13616529913985,,13.5379142037983025,,10154.025,16412.00891,9839.408082,9839.408082,940.8574955,926.309709,0,14.54778654,158.75,1036,75.57,82.76,.1730588888888888888888888888888888888889,189.01096,
2022,210100020404,Rio Guaonica,1,0,657.60823350351423,,2.212090893,,2.691730999,,2.090490766,,2.691730999,,2.090490766,,,472.7757864,0,,166.3614095,,0,166.3614095,0,0,75.83,82.76,0.0845,30.832,
2022,210100020407,Rio Vivi,3,0,194924.2025400986925,,8.630141459148216,,93.2218507,,8.514053617395375,,93.2218507,,8.514053617395375,,0,99.50762918,0,,166.1915365,,0,166.1915365,20762.5,24196,75.41,80.78,.0952916666666666666666666666666666666667,69.646,
2022,210100020408,Rio Caonillas at Lago Caonillas Dam,5,0,25183722.12995397770370068181818181818182,,1990.0439288382105306,,2434.3194581314293825,,1848.456889294493835,,2434.3194581314293825,,1848.456889294493835,,2954.7,204327.0857,17306.02751,16902.08352,14980.32610578315,2605.869495,403.9439941,12374.45661084885,246.790833333333333333333333333333333334,1600,77.855,85.1,21.24226388888888888888888888888888888889,23700.1015,
2022,210100020410,Rio Limon,2,0,251554.2467783645519386363636363636363637,,36.00453679894186375909090909090909090909,,23.10889104220739318181818181818181818182,,35.64329115119129365909090909090909090909,,23.10889104220739318181818181818181818182,,35.64329115119129365909090909090909090909,,,4595.900178,1530.82033,,1226.043955767015,,1530.82033,1226.043955767015,0,0,75.1625,83.48,0.144675,105.8335,
2022,210100020412,Rio Grande de Arecibo at Lago Dos Bocas Dam,4,0,1589113.358747451848745,,16.2861869153596725,,13.291745154383745,,5.6682149853134925,,22.838314924883745,,16.2649074305684925,,78440.67,19803.105,10328.52844410975,10328.52844410975,4060.432641,4060.432641,0,0,103.791666666666666666666666666666666667,1157,82.3175,85.64,0.2965,216.787,
2022,210100020413,Rio Tanama,2,0,74924.903015255538,,108.4507218099361035,,33.02763747,,7.692203788,,36.39242232,,11.42711497393452,,0,5984.564033,,,38.90109087,,,38.90109087,0,0,79.775,83.48,.1610833333333333333333333333333333333334,118.108,
2022,210100020414,Rio Grande de Arecibo at mouth,5,0,349195.347576124875,,1807.8582970549395,,232.3220089,,144.7366115674395,,232.3220089,,144.7366115674395,,0,149046.5362,0,,,,0,,0,0,81.8,87.8,6.825,2490.1,
2022,210100020503,Rio Guajataca at Lago Guajataca Dam,1,0,75027.21687383676831,,44.25194035176705,,0.012108228,,1.331905072,,1.239438259,,2.694241407,,13644.54,17150.49,25041.74015,25041.74015,1785.07543,1785.07543,0,,1210,2420,79.7,82.04,.4691666666666666666666666666666666666667,171.424,
2022,210100030201,Rio Guilarte at Lago Yahuecas Dam,2,0,26182.5925415957484463636363636363636364,,7.19985900369677645454545454545454545455,,9.61548251115844636363636363636363636364,,6.98573039751677045454545454545454545455,,9.77506327389844636363636363636363636364,,7.16286504415817045454545454545454545455,,,171.7382717,,,169.0054987,,,169.0054987,0,0,77.03,84.2,.0737083333333333333333333333333333333334,53.738,
2022,210100030202,Rio Guayo at Lago Guayo Dam,3,0,255844.6833018195658636363636363636363637,,23.90158463753898981818181818181818181818,,68.74368366,,13.03378758021564,,73.98052793,,18.84668471626374,,655.6658831,4513.866820944075,351.5643205020576,,526.149678622479545454545454545454545455,,351.5643205020576,526.149678622479545454545454545454545455,641.098055555555555555555555555555555556,10000,77.99,84.92,.1669027777777777777777777777777777777778,182.8188,
2022,210100030203,Rio Prieto at Lago Prieto Dam,2,0,1528.25162149249003575,,1.729287508,,2.55131643454003575,,1.729287508,,2.55131643454003575,,1.729287508,,,0,,,181.4034204,,,181.4034204,,,73.025,77,.0368333333333333333333333333333333333334,26.9002,
2022,210100030206,Rio Guaba,2,0,10315.77519774777192,,1.30299423864269562,,1.357073845,,.9679688077127985,,1.401659432,,1.0174588094842857,,,0,,,,,,,0,0,76.91,83.12,.0100416666666666666666666666666666666667,7.3275,
2022,210100030207,Rio Mayaguecillo,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,210100030208,Rio Arenas,1,0,10882.38786369164892,,1.74472504395106909090909090909090909091,,.6669867285541472727272727272727272727273,,.4928571587635690909090909090909090909091,,.6669867285541472727272727272727272727273,,.4928571587635690909090909090909090909091,,939.33,1007.685,4328.982906309409090909090909090909090909,4328.982906309409090909090909090909090909,507.711221511136363636363636363636363636,507.711221511136363636363636363636363636,,,8.33333333333333333333333333333333333333,23,81.92,84.74,0.082125,29.9995,
2022,210100030212,Rio Grande de Anasco at mouth,3,0,238513.8521601231819627272727272727272727,,107.845033945178124,,367.61776785434169,,87.78457304611911,,367.61776785434169,,87.78457304611911,,,28325.45686,0,,89.81700875,,0,89.81700875,0,0,79.8125,86.18,1.15507222222222222222222222222222222222,1271.0586,
2022,210100030402,Rio Cruces,1,0,0,,0,,0,,0,,0,,0,,,0,0,,,,0,,,,,,0,0,
2022,210100030403,Rio Cupeyes,1,0,0,,0,,0,,0,,0,,0,,0,0,0,,0,,0,0,0,0,,,0,0,
2022,210100030404,Rio Cain,1,0,24578.165819955825,,15.885073691853975,,25.49771058,,15.885073691853975,,25.49771058,,15.885073691853975,,,0,0,,,,0,,0,0,76.505,80.96,.0818333333333333333333333333333333333333,29.805,
2022,210100030407,Rio Rosario,4,0,47722.4606096470575,,10.4770033507468997171585937513,,11.91845244,,7.4251958730870375,,14.88961844,,8.5707927240333317171585937513,,1278.9,7551.993963,2263.807118,2263.807118,483.3844286,442.116163,,41.2682656,64.58333333333333333333333333333333333333,275,78.8,85.28,0.1959875,142.7718,
